9,"{'Astronomy': 0.5479, 'Physical sciences': 0.4582, 'Meteorology': 0.4535, 'Astronomical objects': 0.4281, 'Stellar astronomy': 0.4158, 'Novae': 0.4105, 'Natural events': 0.406, 'Cataclysmic variable stars': 0.3837, 'Physical phenomena': 0.3794, 'Astronomical events': 0.3653, 'Stars': 0.3635, 'Meteorological phenomena': 0.3602, 'Star types': 0.3445, 'Atmospheric sciences': 0.3404, 'Physical geography': 0.3264, 'Variable stars': 0.3007, 'Stellar phenomena': 0.2779, 'Clouds': 0.2776, 'Applied and interdisciplinary physics': 0.2752, 'Planetary science': 0.2608, 'Planets of the Solar System': 0.2602, 'Clouds, fog and precipitation': 0.2597, 'Cloud types': 0.2552, 'Astrometry': 0.2537, 'Solar System': 0.2443, 'Atmosphere of Earth': 0.2426, 'Nova': 0.2349, 'Bodies of the Solar System': 0.2293, 'Outer planets': 0.2025, 'Forms of water': 0.1876, 'Climatology': 0.1838, 'Astronomical objects known since antiquity': 0.1825, 'Oceanography': 0.1803, 'Branches of meteorology': 0.1695, 'Gas giants': 0.1646, 'Atmosphere': 0.145, 'Earth sciences': 0.1344, 'Planets': 0.1328, 'Natural hazards': 0.1298, 'Outer space': 0.1284, 'Natural disasters': 0.1184, 'United States': 0.1136, 'Phases of matter': 0.1112, 'Storm': 0.09828, 'Substellar objects': 0.09414, 'Earth phenomena': 0.09318, 'Climate': 0.09199, 'Nature': 0.09058, 'Severe weather and convection': 0.08966, 'Water': 0.08124, 'Weather': 0.07757, 'Planemos': 0.07467, 'Vortices': 0.06907, 'Planetary-mass satellites': 0.06599, 'Convection': 0.06345, 'Moons of Saturn': 0.05984, 'Basic meteorological concepts and phenomena': 0.05814, 'Planetary atmospheres of the Solar System': 0.05571, 'Saturn': 0.05169, 'Titan (moon)': 0.05169}"
16,"{'Albums': 0.2415, 'Recorded music': 0.22, 'Rock albums': 0.1747, 'Entertainment': 0.1498, 'Music media': 0.149, 'Sound recording': 0.1487, 'Music industry': 0.1334, 'Toothache': 0.1157, 'Rock music': 0.108, 'Orofacial pain': 0.09654, 'Pop albums': 0.08797, 'Diseases of oral cavity, salivary glands and jaws': 0.08687, 'Culture': 0.07949, 'Feeling': 0.07845, 'Nervous system': 0.07661, 'Television series': 0.07527, 'Mouth': 0.07101, 'Senses': 0.06655, 'Popular music': 0.06525, 'Symptoms and signs: General': 0.06438, 'Pain': 0.05843, 'Dentistry': 0.05305}"
17,"{'Propaganda': 0.1085, 'Media manipulation': 0.09831, 'Public opinion': 0.0894, 'Political communication': 0.08153, 'Diversionary tactics': 0.07452, 'Films directed': 0.07359, 'Psychological manipulation': 0.06823, 'World War I aviation films': 0.065, 'Media bias': 0.06253, 'Cinema of the Republic of Ireland': 0.0575, 'Communication': 0.05735, 'Media analysis': 0.0526, 'British aviation films': 0.05088}"
19,{}
20,{}
24,{}
28,"{'Eagles': 1, 'Birds of prey': 1, 'Tetrapods': 1, 'Birds': 1, 'Predators': 0.9662, 'Accipitridae': 0.9473, 'Buteoninae': 0.9264, 'Predation': 0.9218, 'Carnivorous animals': 0.8252, 'Falconiformes (sensu lato)': 0.7667, 'Accipitriformes': 0.7454, 'Paravians': 0.6865, 'African birds of prey': 0.6066, 'Vertebrates': 0.5926, 'Animals': 0.4564, 'Birds of Africa': 0.4521, 'Vertebrates of Africa': 0.3931, 'Fauna of Africa': 0.3629, 'Birds of prey of Sub-Saharan Africa': 0.3568, 'Holarctic birds': 0.3436, 'Fauna': 0.2914, 'Birds of Sub-Saharan Africa': 0.2819, 'Birds of Asia': 0.2663, 'Haliaeetus': 0.2633, 'Birds of Eurasia': 0.2622, 'Fauna of Sub-Saharan Africa': 0.2487, 'Falconiformes': 0.2196, 'Zoology': 0.2185, 'Vertebrates of Asia': 0.2107, 'Neognathae': 0.1947, 'Aquila (genus)': 0.1895, 'Fauna of Asia': 0.1879, 'Organisms': 0.1775, 'Holarctic fauna': 0.1655, 'Wildlife': 0.1516, 'Eurasia': 0.1354, 'Biota': 0.1261, 'Biota of Sub-Saharan Africa': 0.114, 'Near threatened biota of Africa': 0.0867, 'Fauna of Central Africa': 0.08462, 'Ornithology': 0.07388, 'Birds of Bangladesh': 0.06853, 'Vagrant birds of East Asia': 0.0685, 'Near threatened animals': 0.0684, 'Ecology': 0.06794, 'Central Africa': 0.05766, 'Birds of North Asia': 0.05078, 'Birds of East Asia': 0.05068}"
35,"{'Hum TV series': 0.2678, 'Hum TV': 0.2521, 'Pakistani drama television series': 0.2382, 'Urdu-language television programs': 0.2246, 'Urdu-language television': 0.2104, 'Emotion': 0.1451, 'American television episodes': 0.1449, 'Fiction': 0.136, 'Subjective experience': 0.1324, 'Television episodes': 0.132, 'Pakistani television series debuts': 0.1144, 'Television series': 0.1141, 'Limbic system': 0.1123, 'Psychological concepts': 0.1083, 'Pakistani television series': 0.09381, 'Developmental psychology': 0.075, 'Pakistani television shows': 0.06671, 'Psychology': 0.06552, 'Action (philosophy)': 0.06396, 'Human development': 0.05968, 'Behavioural sciences': 0.05671, 'Cognitive science': 0.05089}"
58,"{'Grimm episodes': 0.07774, 'Grimm (TV series)': 0.0697, 'American television episodes': 0.05426}"
65,"{'Golf': 0.2917, 'Scottish games': 0.2729, 'Hobbies': 0.2603, 'Ball games': 0.2566, 'Leisure': 0.2498, 'Outdoor games': 0.2422, 'Recreation': 0.2293, 'Ball and bat games': 0.2293, 'Summer Olympic sports': 0.2178, 'Precision sports': 0.2073, 'Team sports': 0.1978, 'Summer sports': 0.1891, 'Olympic sports': 0.1811, 'Teams': 0.1737, 'Individual sports': 0.1668, 'Sports': 0.1605, 'Leisure activities': 0.1545, 'Summer Olympic Games': 0.1436, 'Computing': 0.1392, 'Gaming': 0.1387, 'Outdoor recreation': 0.134, 'Entertainment': 0.1254, 'British games': 0.1177, 'International sports competitions': 0.1141, 'Sports events': 0.1106, 'Beginnings': 0.1073, 'United Kingdom': 0.09029, 'Cybercrime': 0.0855, 'Government': 0.07568, 'Computer law': 0.07487, 'Computer security': 0.07377, 'Do it yourself': 0.07158, 'Software cracking': 0.07063, 'Cyberpunk themes': 0.06832, 'Computer network security': 0.06807, 'Cyberwarfare': 0.06385, 'Circumvention': 0.06217, 'Economy': 0.06149, 'Computer security exploits': 0.06036, 'Cyberspace': 0.05941, 'Business': 0.05926, 'Information technology': 0.05767, 'Culture': 0.05505, 'Software distribution': 0.0548}"
