,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Manfred von Richthofen,1.0,0.0,0.6839,0.0,0.0,1.0,0.6243,0.9455,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.639,1.0,1.0,0.0,0.0,0.0,0.0,0.1573,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.6517,0.0,0.5517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6828,0.0,0.0,0.664,0.0,1.0,0.0,0.0,0.0,0.8889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6681,0.0,0.0836,0.0,0.0
Roy Brown (RAF officer),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9112,0.0,0.5445,0.0,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Military,0.7469083333333333,0.8050600000000001,0.62289,0.82455,0.7649363636363635,0.5641666666666666,0.5801544444444444,0.852223076923077,0.57982,0.0,0.0,0.6768499999999998,0.0,0.6728999999999999,0.275,0.29988333333333334,0.35300000000000004,0.29532875000000003,0.6323166666666666,0.6317636363636363,0.8296,0.5919800000000001,0.40257111111111116,0.623518,0.3918350000000001,0.625462,0.39548222222222223,0.616890909090909,0.5242899999999999,0.45401600000000003,0.5448466666666666,0.8631636363636364,0.491659,0.6564818181818183,0.4971685714285714,0.1847,0.6659818181818182,0.8859600000000001,0.81591,0.44473333333333337,0.7907000000000001,0.8739999999999999,0.8187454545454546,0.32630250000000005,0.8384999999999999,0.7313850000000001,0.2554666666666667,0.1430725,0.0,0.0,0.5972989999999999,0.403895,0.32777333333333336,0.5136999999999999,0.8870499999999999,0.387325,0.25599999999999995,0.8831874999999999,0.5019272727272727,0.8310636363636363,0.41411999999999993,0.0,0.6587641666666667,0.5444090000000001,0.0
War,0.7558333333333334,0.95535,0.94895,0.7222714285714286,0.5638,0.63165,0.9009,0.7240142857142857,0.6131,0.08593,0.0,0.6937,0.0,0.54865,0.28972499999999995,0.2559625,0.33337,0.3942,0.63066,0.9561000000000001,0.6369166666666667,0.7444666666666667,0.44420000000000004,0.80465,0.21209,0.44538,0.5160233333333334,0.64334,0.478935,0.52525,0.5019666666666668,0.7650166666666668,0.465725,0.65582,0.7391,0.132745,0.64376,0.9244749999999999,0.9207599999999999,0.5143333333333333,0.7500249999999999,0.81098,0.60048,0.4984333333333333,0.6671199999999999,0.80536,0.30045,0.13663333333333336,0.0,0.0,0.71982,0.5276,0.39006666666666673,0.5243333333333333,0.74158,0.69155,0.24055400000000002,0.37764333333333333,0.43052,0.6244799999999999,0.4112,0.0,0.52314,0.38602,0.0
Jagdgeschwader 1 (World War I),0.0,0.0,0.0,0.4517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8005,0.0,0.0,0.0,0.0
International security,0.41800000000000004,0.50645,0.9595,0.88085,0.30874999999999997,0.0,0.7748,0.60705,0.19355,0.0,0.0,0.43765,0.0,0.0,0.0,0.29610000000000003,0.08554,0.0,0.6859,0.9528,0.76305,0.61375,0.20689999999999997,0.0,0.0,0.12042,0.0,0.6374500000000001,0.0,0.0,0.2591,0.6071500000000001,0.2663,0.40905,0.5517,0.0,1.0,0.83175,0.8969,0.4798,0.5934999999999999,0.25865,0.27405,0.0,0.42475,0.8571,0.0,0.07738500000000001,0.0,0.0,0.43775,0.0,0.22096500000000002,0.0,0.5952,0.073685,0.1814,0.0,0.15815,0.3281,0.0,0.0,0.1086,0.11950000000000001,0.0
Anthony Fokker,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5871,0.0,0.0
Roland Georges Garros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Violent conflict,0.4337,0.7844,0.636,0.3964,0.1923,0.0,0.7866,0.4203,0.1299,0.0,0.0,0.3128,0.0,0.0,0.0,0.0,0.0,0.08389,0.699,0.8263,0.374,0.4424,0.2471,0.0,0.0,0.0,0.0,0.4877,0.0,0.0,0.1288,0.5892,0.3097,0.2839,0.2967,0.0,0.8135,0.7859,1.0,0.2354,0.4413,0.2407,0.1395,0.0,0.2128,0.9681,0.0,0.09427,0.0,0.0,0.4016,0.0,0.4352,0.0,0.3472,0.06984,0.156,0.0,0.1369,0.1816,0.0,0.0,0.08133,0.0,0.0
Nazi Germany,0.1719,0.2954,0.5873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3925,0.0,0.0,0.0,0.05924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Aircraft Factory S.E.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allies of World War II,0.1677,0.0,0.0,0.0,0.0,0.0,0.0,0.3137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416,0.1504,0.0,0.2052,0.0,0.1458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2478,0.1953,0.0,0.2204,0.0,0.1354,0.0,0.0,0.0,0.0,0.0,0.0
