,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
Manfred von Richthofen,0.0,1.0,0.3042,0.0,0.0,0.0,0.0,0.0,0.4725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6996,0.0,0.0,0.0,0.6963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2922,0.0,0.0,0.0,0.0,0.0,0.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5621,0.0,0.0,0.0,0.3245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9565,0.0,0.0,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,0.0,0.0,0.0,0.0,0.0,0.3187,0.249,0.0,0.0,0.0
Roy Brown (RAF officer),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Military,0.5367763636363635,0.6476444444444445,0.5557777777777777,0.0,0.0,0.5696,0.6243142857142857,0.66194,0.6458418181818182,0.79783,0.0,0.15020750000000002,0.7699545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.834875,0.54955,0.8079749999999999,0.0,0.23174142857142857,0.4901454545454546,0.0,0.3044285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7410636363636364,0.0,0.0,0.0,0.0,0.0,0.4362,0.18797333333333333,0.0,0.0,0.05619,0.0,0.0,0.0,0.0,0.38234999999999997,0.7138333333333332,0.0,0.0,0.0,0.0,0.78335,0.7760075,0.10231,0.6956285714285714,0.0,0.6366272727272727,0.383475,0.0,0.0,0.0,0.36041666666666666,0.0,0.0,0.0,0.551147,0.9386333333333333,0.40216666666666673,0.0,0.0,0.134575,0.5752857142857143,0.3953828571428571,0.0,0.20756000000000002,0.7179749999999999,0.312,0.0,0.37632000000000004,0.43767,0.0,0.22416571428571427,0.37845,0.3547714285714285,0.27323749999999997,0.0,0.12796600000000002,0.5951500000000001,0.0,0.6484181818181818,0.46186499999999997,0.2754588888888889,0.0,0.0,0.0,0.0,0.6932363636363635,0.5890125,0.0,0.0,0.09320500000000001,0.062136666666666666,0.0,0.0,0.19755,0.31816636363636364,0.0,0.0,0.447175,0.0,0.0,0.6692166666666667,0.0,0.0,0.167196,0.0636,0.13358666666666666,0.0,0.0,0.5549499999999999,0.08331666666666668,0.7585272727272727,0.0,0.0,0.0,0.0,0.0,0.8126999999999999,0.0,0.4841418181818181,0.623968,0.0,0.7255727272727273,0.105095,0.0,0.14522500000000002,0.13687499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2783333333333333,0.0,0.0,0.36426250000000004,0.0,0.0,0.0,0.0,0.13125,0.0,0.0,0.63378,0.7798766666666667,0.5022274999999999,0.0,0.0,0.0,0.0,0.13956666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09324,0.6469181818181818,0.0,0.0,0.0,0.45386666666666664,0.0,0.0,0.0,0.0,0.4651322222222222,0.3783222222222222,0.37984,0.0,0.0,0.0
War,0.18313,0.7691166666666666,0.50144,0.0,0.0,0.7911,0.8659749999999999,0.51084,0.7066399999999999,0.48418333333333335,0.0,0.25025000000000003,0.4810666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.7380199999999999,0.35916000000000003,0.7557333333333335,0.0,0.3128,0.35910000000000003,0.0,0.235264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5193399999999999,0.0,0.0,0.0,0.0,0.0,0.3248,0.30579999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3933,0.7692,0.0,0.0,0.0,0.0,0.75,0.95374,0.09227199999999999,0.8454,0.0,0.65122,0.12240000000000001,0.0,0.0,0.0,0.4015,0.0,0.0,0.0,0.4273275,0.60145,0.3299,0.0,0.0,0.1211,0.44538,0.26934,0.0,0.5096,0.6407499999999999,0.4383,0.0,0.4005666666666667,0.48275,0.0,0.32425,0.29485,0.5652,0.228435,0.0,0.108085,0.3078,0.0,0.53294,0.36513999999999996,0.21047500000000002,0.0,0.0,0.067995,0.0,0.59975,0.9453333333333332,0.0,0.0,0.060066666666666664,0.0,0.0,0.0,0.2679,0.24874999999999997,0.0,0.0,0.44077599999999995,0.0,0.0,0.836075,0.0,0.0,0.20224999999999999,0.13470333333333334,0.11144499999999999,0.0,0.0,0.40082000000000007,0.08692,0.53168,0.0,0.0,0.0,0.0,0.0,0.7212799999999999,0.0,0.35885,0.6857833333333333,0.0,0.54773,0.0,0.0,0.18472,0.14100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762,0.0,0.0,0.35221,0.0,0.0,0.0,0.0,0.14765,0.0,0.0,0.6481,0.6715199999999999,0.32869,0.1336,0.0,0.0,0.0,0.10179666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10375000000000001,0.5156333333333333,0.0,0.0,0.0,0.5867,0.0,0.0,0.0,0.0,0.4631,0.13369999999999999,0.30145,0.0,0.0,0.0
Jagdgeschwader 1 (World War I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
International security,0.062200000000000005,0.5466,0.0,0.0,0.0,0.41375,0.5153,0.65585,0.958,0.8161,0.0,0.1362,0.1784,0.0,0.0,0.0,0.0,0.0,0.0,0.44315000000000004,0.0,0.4014,0.0,0.16085,0.09581999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18385,0.0,0.0,0.0,0.0,0.0,0.7779,0.973,0.0,0.40259999999999996,0.0,0.5008,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.1723,0.0,0.0,0.0,0.0,0.08267,0.0,0.0,0.0,0.0,0.0,0.19805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31715000000000004,0.06729,0.09437,0.0,0.0,0.0,0.0,0.40195000000000003,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.26865,0.289,0.0,0.0,0.40249999999999997,0.0,0.0,0.2866,0.0,0.0,0.21354,0.0,0.08725,0.0,0.0,0.0852,0.0,0.16765000000000002,0.0,0.0,0.0,0.0,0.0,0.36895,0.0,0.2518,0.0,0.0,0.62475,0.0,0.0,0.0,0.092635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07931,0.0,0.0,0.0,0.0,0.09438,0.0,0.0,0.108595,0.82205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Fokker,0.0,0.0,0.3744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185,0.0,0.0,0.0,0.0,0.0
Roland Georges Garros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Violent conflict,0.08933,0.5932,0.0,0.0,0.0,0.9075,0.2785,0.1941,0.4929,0.114,0.0,0.2876,0.1054,0.0,0.0,0.0,0.0,0.0,0.0,0.5583,0.0,0.283,0.0,0.08627,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1984,0.0,0.0,0.0,0.0,0.0,0.7941,0.9444,0.0,0.3455,0.0,0.3093,0.0,0.0,0.0,0.0,0.2762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2751,0.06805,0.09673,0.0,0.0,0.0,0.0,0.2644,0.6994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4512,0.0,0.0,0.3121,0.0,0.0,0.0,0.1367,0.0,0.0,0.0,0.05573,0.0,0.1166,0.0,0.0,0.0,0.0,0.0,0.2329,0.0,0.07228,0.06647,0.0,0.5072,0.0,0.0,0.0,0.1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1518,0.0,0.0,0.1653,0.5095,0.0,0.0,0.0,0.0,0.0,0.05473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nazi Germany,0.1788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
