,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
Manfred von Richthofen,0.9766,0.3249,0.0,0.0,0.697,0.0,0.0,0.3637,0.0,0.0,0.7052,0.6472,0.3838,1.0,0.0,0.0,0.0,0.934,0.0,0.0,1.0,0.0,0.0,0.0,0.9483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6257,0.0,0.2146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7146,0.0,0.0,0.0,0.6491,0.0,0.0,0.0,0.8255,0.0,0.0,0.0,0.0,1.0,0.9729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0
Roy Brown (RAF officer),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7474,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Military,0.7494636363636363,0.7036250000000001,0.39130000000000004,0.6117777777777779,0.7748272727272728,0.27042857142857146,0.7475181818181817,0.058655,0.0,0.7126166666666668,0.8374666666666667,0.5906111111111111,0.7547999999999999,0.41042428571428563,0.0,0.0,0.0,0.7644636363636362,0.0,0.0,0.7194333333333334,0.2529142857142857,0.066965,0.0,0.2863,0.5450280000000001,0.15855333333333335,0.0,0.7192112500000001,0.5822,0.70812,0.33065714285714287,0.16086399999999998,0.4474833333333333,0.0,0.68966,0.4988333333333333,0.11241249999999998,0.581345,0.3124699999999999,0.5611090909090909,0.953925,0.27787625,0.345,0.49613900000000005,0.05587,0.5227522222222223,0.8545727272727273,0.5592518181818181,0.0,0.7385272727272728,0.2635428571428572,0.1038075,0.062136666666666666,0.6352000000000001,0.6476454545454546,0.6242829999999999,0.0,0.82028,0.21606166666666662,0.4827285714285714,0.8772800000000001,0.8142818181818182,0.8122727272727271,0.0,0.0,0.8165272727272727,0.802690909090909,0.8077,0.1189,0.1993,0.0,0.0,0.0,0.0,0.42915285714285717,0.64841,0.0,0.0,0.14629999999999999,0.49284,0.8860916666666667,0.7074727272727273,0.44722,0.08935666666666665,0.0,0.8732249999999999,0.3752745454545456,0.62946,0.6776454545454546,0.0,0.3993383333333334,0.0,0.4333099999999999,0.642105,0.1715666666666667,0.0
War,0.7773500000000001,0.6522600000000001,0.57245,0.90955,0.6821,0.38104,0.5180383333333334,0.0889125,0.0,0.90718,0.7158142857142857,0.8692749999999999,0.6269600000000001,0.31679999999999997,0.0,0.0,0.0,0.63858,0.0,0.0,0.57895,0.24842499999999998,0.0,0.0,0.3113,0.5928533333333333,0.194725,0.0,0.9255000000000001,0.9464600000000001,0.5878599999999999,0.18899999999999997,0.20476666666666665,0.379076,0.0,0.49829999999999997,0.23373249999999998,0.05474,0.4524799999999999,0.47275,0.415985,0.64561,0.43510000000000004,0.32055,0.4991666666666666,0.0,0.29868000000000006,0.7315333333333333,0.601825,0.0708,0.6831750000000001,0.3680666666666667,0.061975,0.0,0.8162666666666666,0.61895,0.7877000000000001,0.0,0.95745,0.28335,0.712875,0.6462,0.7815000000000001,0.5978399999999999,0.0,0.0,0.68032,0.7624799999999999,0.8356,0.0,0.20476666666666665,0.0,0.0,0.0,0.0,0.34162,0.70386,0.0,0.0,0.1744,0.5020333333333333,0.75408,0.80815,0.6390666666666668,0.08347,0.0,0.5523,0.320066,0.62102,0.427184,0.0,0.34767800000000004,0.0,0.44407500000000005,0.50208,0.14085,0.0
Jagdgeschwader 1 (World War I),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
International security,0.5930500000000001,0.0,0.27545,0.71165,0.7818,0.1633,0.25285,0.0,0.0,1.0,0.48059999999999997,0.34055,0.3841,0.16425,0.05685,0.0,0.0,0.51145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06964,0.0,0.9744999999999999,0.60085,0.5354,0.0,0.14475,0.20795000000000002,0.0,0.28035,0.0,0.0,0.06565,0.0,0.1872,0.35840000000000005,0.0,0.0,0.0,0.0,0.13035,0.4124,0.34875,0.0,0.42969999999999997,0.29515,0.0,0.0,1.0,0.69365,0.54385,0.0,0.7839,0.28745,0.4789,0.5976,0.21955000000000002,0.25155,0.0,0.0,0.35014999999999996,0.4164,0.6855,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.2693,0.0,0.0,0.1238,0.0,0.5541,0.53925,0.0,0.0,0.0,0.0,0.0,0.47285,0.105445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Fokker,0.0,0.4431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2874,0.0,0.0,0.0
Roland Georges Garros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Violent conflict,0.6351,0.0,0.6467,0.4931,0.3436,0.3932,0.1456,0.05425,0.0,1.0,0.3106,0.3225,0.2318,0.08279,0.0,0.0,0.0,0.2671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09475,0.0,1.0,0.5591,0.3566,0.0,0.1231,0.2802,0.0,0.06401,0.0,0.0,0.0,0.0,0.0,0.3671,0.0,0.0,0.0,0.0,0.1107,0.4029,0.3758,0.0,0.284,0.1169,0.0,0.0,0.4541,0.2801,0.5997,0.0,0.8399,0.0,0.5591,0.0,0.2001,0.1391,0.0,0.0,0.2029,0.3472,0.7676,0.0,0.06555,0.0,0.0,0.0,0.0,0.1365,0.3293,0.0,0.0,0.1711,0.0,0.2887,0.4284,0.0,0.0,0.0,0.0,0.0,0.2824,0.06988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nazi Germany,0.2231,0.0,0.3338,0.2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
