,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
Langley Aerodrome,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182,0.74915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aircraft,0,0.7647699999999998,0.4945857142857143,0.0,0.0,0.35479,0.0,0.31161000000000005,0.5888500000000001,0.0,0.434125,0.1207,0.3415,0.6577124999999999,0.6947599999999999,0.5967272727272727,0.562609090909091,0.6689811111111111,0.06551,0.0,0.0,0.6234636363636363,0.0,0.27223222222222226,0.0,0.6397636363636363,0.18918333333333334,0.0,0.19763333333333333,0.23909999999999998,0.31866,0.70692,0.14305,0.109515,0.3472111111111112,0.15135222222222222,0.09322,0.22520500000000002,0.43195999999999996,0.6983090909090909,0.7649222222222222,0.7092444444444443,0.7720857142857144,0.7153777777777779,0.15316833333333332,0.14176,0.0,0.39177142857142855,0.7457727272727273,0.731892,0.16823333333333335,0.46512000000000003,0.30551,0.7035090909090909,0.96386,0.5427333333333333,0.2691,0.32349999999999995,0.32844555555555555,0.5168790909090909,0.7845857142857143,0.06821,0.447863,0.4870428571428572,0.1402,0.3593,0.277184,0.25136000000000003,0.0,0.4853777777777777,0.43000625000000003,0.46051111111111115,0.6934454545454546,0.7367818181818181,0.38445999999999997,0.3862888888888889,0.66751,0.18566375,0.7670777777777777,0.25529999999999997,0.6220299999999999,0.1692,0.4505666666666666,0.2716666666666667,0.0,0.7929249999999999,0.46079100000000006,0.7475666666666667,0.7055181818181818,0.722689090909091,0.5403425000000001,0.676174,0.721118,0.7965,0.18762666666666664,0.6564,0.06837,0.0,0.24264166666666667,0.38702500000000006,0.4444666666666666,0.0,0.0,0.15592166666666665,0.0,0.31591749999999996,0.0,0.3958885714285714,0.5685672727272727,0.692890909090909,0.070165,0.15055,0.1703066666666667,0.284,0.5111857142857144,0.8443125,0.11321166666666667,0.0,0.0704,0.805633,0.27146857142857145,0.15847,0.4407,0.72875,0.36778500000000003,0.7308545454545455,0.6762333333333334,0.3656171428571428,0.5026539999999999,0.21491571428571427,0.264,0.5857833333333333,0.39438909090909086,0.4631,0.24081666666666665,0.51456,0.55544375,0.0,0.0,0.46535714285714286,0.11323428571428572,0.5272666666666667,0.5879142857142857,0.634875,0.5095327272727272,0.1072,0.21904999999999997,0.0,0.5422375,0.5303014285714285,0.54927,0.0,0.0,0.54691,0.7096600000000001,0.30408571428571435,0.0,0.05022,0.7406972727272728,0.72438,0.7088636363636363,0.09724,0.0,0.34114999999999995,0.12139499999999999,0.05314,0.2167,0.4729155555555555,0.08866,0.0814,0.50852625,0.0,0.0,0.05925,0.0,0.0,0.36026250000000004,0.09168125000000002,0.13895000000000002,0.0,0.0,0.0,0.1851,0.0,0.2782,0.6220714285714285,0.45792,0.1608425,0.0,0.6659888888888889,0.0,0.0,0.089148,0.6669545454545456,0.0,0.361125,0.2834888888888889
Aerospace engineering,0,0.9393,0.7381,0.0,0.0,0.46405,0.0,0.53975,0.5534,0.0,0.3848,0.0,0.0,0.50605,0.6071,0.5131566666666667,0.62058,0.6129233333333334,0.0,0.0,0.0,0.47884666666666664,0.0,0.2192,0.0,0.6339433333333333,0.12104,0.0,0.07542666666666666,0.23745,0.5876,1.0,0.09322,0.5093,0.48041000000000006,0.167,0.05494,0.3571566666666666,0.5228900000000001,0.7522666666666668,1.0,1.0,0.8669,1.0,0.13758,0.06272,0.0,0.4302,0.9765333333333333,0.7270666666666666,0.10420999999999998,0.5095666666666666,0.3679666666666667,0.7655333333333333,0.9305666666666667,0.7064,0.3791,0.19016,0.45745,0.5038066666666666,0.6315500000000001,0.11324999999999999,0.8076,0.5302,0.0,0.15103333333333332,0.3826,0.2059,0.0,0.41205,0.5065333333333334,0.57965,0.8952333333333332,0.7454000000000001,0.5160666666666667,0.471,0.7383333333333333,0.2293,0.9310499999999999,0.45036666666666675,0.7043666666666667,0.3059,0.2767,0.4103666666666667,0.0,1.0,0.8114,0.8726666666666666,1.0,1.0,0.6737666666666667,0.9136500000000001,0.8755999999999999,1.0,0.14421333333333333,0.7287,0.0,0.0,0.21528333333333335,0.5198,0.39587,0.0,0.0,0.19920000000000002,0.0,0.32735000000000003,0.0,0.44243,0.8967499999999999,0.6727433333333334,0.0,0.2104,0.0,0.0,0.19615,0.74605,0.08694,0.1135,0.06037,0.6208,0.14091666666666666,0.2157,0.0,0.1516,0.24315,1.0,0.7871666666666667,0.207845,0.5992,0.12755,0.0,0.60295,0.3326,0.2061,0.1203,1.0,0.40136666666666665,0.0,0.0,0.5271,0.07432,0.2184,0.30525,0.3742,0.8568,0.0,0.1927,0.0,0.3226,0.2084,0.15975499999999998,0.0,0.0,0.5698,0.6556666666666667,0.47576666666666667,0.0,0.0,1.0,0.8166333333333333,0.9251333333333333,0.168,0.0,0.3675,0.1522,0.0,0.08672,0.5718,0.05005,0.0,0.7424,0.0,0.0,0.0,0.0,0.0,0.42169999999999996,0.105405,0.0,0.0,0.0,0.0,0.0,0.0,0.0758,0.2557,0.505,0.14897666666666667,0.0,0.7562,0.0,0.0,0.07086666666666668,0.92945,0.0,0.5239,0.38434999999999997
Atmosphere of Earth,0,0.7772,0.4658,0.0,0.0,0.3621,0.0,0.3317,0.5063,0.0,0.0,0.0,0.0,0.3031,0.7435,0.5037,0.3308,0.0773,0.0,0.0,0.0,0.6237,0.0,0.0,0.0,0.3727,0.0,0.0,0.0,0.0,0.1415,0.5844,0.0,0.0,0.1715,0.1054,0.0,0.496,0.09773,0.6193,0.6425,0.6133,0.3241,0.5089,0.0,0.0,0.0,0.06696,1.0,0.7322,0.0,0.1055,0.0,0.6034,0.671,0.6299,0.3565,0.0,0.166,0.418,0.6124,0.0,0.09564,0.3852,0.0,0.0,0.0,0.0,0.0,0.2383,0.0,0.3331,0.2779,0.8038,0.0,0.302,0.6292,0.09186,0.4108,0.0,0.293,0.0,0.0,0.0,0.0,0.8888,0.3772,0.7873,0.6037,0.5536,0.3534,0.5326,0.6112,0.0,0.0,0.05008,0.0,0.0,0.0,0.0,0.1137,0.0,0.0,0.0,0.0,0.0,0.0,0.06955,0.3509,0.4443,0.0,0.0,0.0,0.0,0.2553,0.1601,0.0,0.0,0.0,0.3756,0.0,0.0678,0.0,0.0,0.0,1.0,0.4304,0.0,0.0,0.0,0.0,0.05771,0.08182,0.0,0.0,0.0,0.07477,0.0,0.0,0.483,0.05278,0.0,0.4865,0.08266,0.4458,0.0,0.0,0.0,0.1554,0.09894,0.0,0.0,0.0,0.2359,0.4077,0.0,0.0,0.0,0.5411,0.8418,0.8497,0.0,0.0,0.0,0.0,0.0,0.0,0.2042,0.0,0.0,0.3735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1638,0.0,0.0,0.0,0.5127,0.0,0.0,0.0,0.4024,0.0,0.0,0.1803
Wright Glider,0,0.327,0.2499,0.0,0.0,0.372,0.0,0.1958,0.0,0.0,0.1596,0.0,0.0,0.0,0.0,1.0,1.0,0.5768,0.0,0.0,0.0,1.0,0.0,0.7821,0.0,1.0,0.6532,0.0,0.1279,0.1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1115,0.3712,0.2073,0.06703,0.0,0.0,0.0,0.1687,0.388,0.4249,0.2835,0.0,0.1899,0.6778,0.2692,0.3441,0.0,0.4292,0.6183,0.7233,0.0,0.0,0.0,0.0,0.0,0.4648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.0,0.5885666666666667,0.0,0.0,0.2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9170499999999999,0.0,0.0,0.7558,0.2222,0.0,0.0,0.6229,1.0,0.2294,0.0,1.0,0.0,0.4026,0.0,0.0,0.4443,0.0,0.7265,0.0,0.0,0.6965,1.0,0.2539,0.1432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.0,0.2549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.666,0.0,0.0,0.0,0.0,0.0,0.05946,0.0,0.0,0.0,0.0,0.0,0.6601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9284,0.0,0.0,0.7202,0.1495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8171,0.65105,0.0,0.7786,0.1378
Powered aircraft,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5687,0.0,0.0,0.0,0.4572,0.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle operation,0,0.8509,0.6142,0.0,0.0,0.385,0.0,0.4856,0.5793,0.0,0.0,0.0,0.0,0.3774,1.0,0.7801,0.607,0.3911,0.0,0.0,0.0,0.8197,0.0,0.0,0.0,0.6757,0.0,0.0,0.0,0.0,0.3779,0.2208,0.0,0.0,0.2026,0.1274,0.0,0.0,0.1798,0.8365,0.792,0.8036,0.3968,1.0,0.0,0.0,0.0,0.08079,1.0,0.8159,0.0,0.07301,0.0,0.6478,0.4177,0.3523,0.2218,0.1362,0.3442,0.7199,0.6412,0.0,0.1715,0.4033,0.0,0.09906,0.0,0.0,0.0,0.2772,0.0,0.379,0.2988,0.8316,0.1499,0.3438,0.6844,0.0,0.4663,0.0,0.3314,0.0,0.0,0.0,0.0,0.6252,0.2986,0.8956,0.2726,0.2833,0.5704,0.7815,0.7047,0.1619,0.0,0.3494,0.0,0.0,0.0,0.4005,0.4259,0.0,0.0,0.0,0.0,0.1654,0.0,0.3046,0.6913,0.8101,0.0,0.0,0.0,0.0,0.2743,0.3647,0.0,0.0,0.0,0.495,0.0,0.1005,0.0,0.0,0.0,0.7083,0.3512,0.0,0.0,0.0,0.0,0.3183,0.1065,0.0,0.0,0.0,0.2217,0.0,0.0,0.5039,0.05853,0.0,0.3517,0.1205,0.6246,0.0,0.0,0.0,0.2129,0.1781,0.0,0.0,0.0,0.371,0.4602,0.0,0.0,0.0,0.7071,0.5939,0.6003,0.0,0.0,0.0,0.0,0.0,0.0,0.2676,0.0,0.0,0.3223,0.0,0.0,0.0,0.0,0.0,0.3018,0.05668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2124,0.0,0.0,0.0,0.5772,0.0,0.0,0.0,0.7477,0.0,0.2697,0.2104
Stall (fluid mechanics),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0,0.7564333333333333,0.5503,0.33875,0.2525,0.33855399999999997,0.1348,0.40823666666666675,0.6041142857142858,0.0,0.37855,0.5328666666666666,0.3871,0.468084,0.5656333333333333,0.48893999999999993,0.49594999999999995,0.453558,0.0,0.1421,0.0,0.5749799999999999,0.0,0.24762000000000003,0.0,0.5433166666666667,0.156365,0.0,0.16913999999999998,0.2082,0.22039599999999998,0.7896000000000001,0.1496,0.16237,0.32245,0.25065,0.05648,0.24814666666666665,0.388255,0.560295,0.5762333333333334,0.6744200000000001,0.7234666666666666,0.6066216666666667,0.28913833333333333,0.23470000000000002,0.181955,0.245446,0.6505299999999999,0.53957,0.154964,0.69174,0.3227,0.65296,1.0,0.605175,0.29946,0.20717249999999998,0.34112,0.5456200000000001,0.5191283333333333,0.10732,0.7425,0.49090000000000006,0.1374,0.24315666666666666,0.073265,0.151,0.1994,0.43900000000000006,0.7372,0.3714666666666666,0.7218333333333332,0.7428,0.6491666666666666,0.40806666666666663,0.5225783333333333,0.1941466666666667,0.7356714285714286,0.31916,0.6009857142857143,0.46440000000000003,0.44639999999999996,0.4152666666666667,0.0,0.7719555555555555,0.46588,0.9665333333333334,0.8717142857142858,0.8407571428571429,0.6626500000000001,0.6521166666666668,0.7005166666666667,1.0,0.1322325,0.389125,0.06479,0.0,0.18364999999999998,0.32020000000000004,0.36794249999999995,0.0,0.10337999999999999,0.180152,0.0,0.25417500000000004,0.0,0.310845,0.5878666666666666,0.6769,0.0,0.0,0.28783333333333333,0.48219999999999996,0.61175,0.47717200000000004,0.17515,0.17274333333333333,0.1845,0.7522333333333334,0.47502500000000003,0.19577499999999998,0.6299,0.82986,0.13480333333333336,0.7339142857142856,0.5059216666666666,0.3073033333333333,0.6717333333333334,0.334275,0.3123,0.32995,0.53156,0.7067666666666668,0.5964774999999999,0.6073000000000001,0.36921857142857145,0.0,0.0,0.4552,0.158455,0.5938333333333333,0.47782500000000006,0.6497499999999999,0.5105,0.1471,0.2741,0.0,0.363732,0.3095375,0.45769,0.0,0.0,0.54298,0.7983166666666667,0.34659999999999996,0.0,0.3161,0.7889333333333334,0.6964142857142858,0.6985750000000001,0.2119,0.0,0.5017,0.13755,0.0,0.1107,0.4499933333333333,0.0,0.0,0.448575,0.0,0.0,0.3068,0.0,0.0,0.37390000000000007,0.09553333333333335,0.0,0.0,0.0,0.0,0.0523,0.0,0.1743,0.496138,0.324395,0.21130000000000002,0.0,0.5657333333333333,0.0,0.0,0.09892,0.43341499999999994,0.0,0.346875,0.25611666666666666
Early flying machines,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
