,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
Samuel Pierpont Langley,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aerospace engineering,0,0.74385,0.0,0.3967,0.43979999999999997,0.94425,0.44103333333333333,0.1826,0.0,0.57835,0.6272000000000001,0.6921233333333333,0.43784999999999996,0.08645,0.46025,0.5782,0.1849,0.6354366666666666,0.53293,0.10666,0.48760000000000003,0.6849333333333334,1.0,0.4734,0.5677666666666666,0.2433,0.4400333333333333,0.7784333333333334,1.0,0.89295,1.0,0.12555,0.0,0.8930333333333333,0.8028,0.19873333333333335,0.7679,0.8170999999999999,0.9091,0.4926333333333333,0.1678,0.57385,0.5523000000000001,0.7419666666666668,0.22897666666666663,0.3449666666666667,0.2829,0.0,0.4070666666666667,0.5065333333333334,0.8917,0.7374999999999999,0.159795,0.7054999999999999,0.7507,0.8009333333333334,0.7680333333333333,0.1708,0.7975666666666666,0.9358333333333334,1.0,0.9851000000000001,1.0,0.7246666666666667,0.6925466666666668,1.0,0.69555,0.0,0.0,0.81175,0.38758499999999996,0.41564999999999996,0.48245000000000005,0.7322500000000001,0.0,0.7584666666666666,0.7372333333333333,0.055080000000000004,0.3262,0.3897,0.25889999999999996,0.0,0.329,0.3479666666666667,0.3199,0.15229333333333334,0.1971,0.8786666666666667,0.8483666666666667,0.4712,0.24812,0.0,0.5177333333333333,0.2894,1.0,0.34305,0.092345,0.5152,0.0,0.31484999999999996,0.363,0.3003,0.1479,0.48710000000000003,0.40705,0.43405,0.0,0.63,0.8404666666666666,0.30111333333333334,0.93765,0.8096333333333333,0.87,0.2096,0.22993333333333332,0.7138666666666666,0.1299,0.61655,0.10248,0.6621666666666667,0.0,0.0,0.0,0.345,0.0,0.0,0.0,0.187,0.0,0.38051999999999997,0.82675,0.08804,0.88415,0.6544,0.15225333333333332,0.8749,0.0,0.2979
Artificial objects,0,0.8681,0.2987,0.5274,0.4741,0.5954,0.616,0.4524,0.285,0.3474,0.5721,0.8352,0.2141,0.0,0.0,0.9697,0.3945,0.4671,0.521,0.05097,0.6754,0.824,1.0,0.6702,1.0,0.2808,0.3827,0.7842,0.4327,0.0,0.7511,0.4866,0.3516,0.6743,0.8238,1.0,1.0,0.5974,1.0,0.6096,0.3591,0.7111,1.0,0.9591,1.0,0.8969,0.4763,0.1181,0.5444,0.0,0.8879,0.8848,0.6744,0.7671,0.7714,0.9565,1.0,0.5505,1.0,0.8558,0.9747,1.0,1.0,1.0,1.0,0.107,0.3867,0.0,0.0,0.3024,0.1765,0.4243,0.3466,0.3179,0.0,0.6057,0.6926,0.06372,0.4387,0.8761,1.0,0.1374,0.806,1.0,1.0,0.8814,1.0,0.7223,0.6248,1.0,1.0,0.4257,0.6612,1.0,1.0,0.5173,0.0,0.4632,0.2117,1.0,0.6744,0.3048,0.0,0.2773,0.1732,0.3135,0.0,0.597,1.0,0.1337,0.6472,0.9798,0.9391,0.0,0.2538,1.0,0.0,0.05745,0.0,0.07835,0.0,0.0,0.0,0.3467,0.0,0.0,0.0,0.0,0.0,0.4838,0.4483,0.1293,0.6384,0.4773,0.1009,0.4245,0.0,0.1952
Aircraft,0,0.7489499999999999,0.1217,0.3306511111111112,0.5485514285714286,0.735041,0.5720000000000001,0.5315333333333333,1.0,0.6547666666666667,0.78028,0.8348888888888888,0.3145,0.11311,0.4335616666666666,0.7432399999999999,0.25389500000000004,0.7540777777777777,0.5169666666666666,0.17475000000000002,0.4735363636363637,0.7548444444444444,0.8683916666666667,0.31367444444444437,0.5260222222222223,0.17579250000000002,0.20980000000000001,0.7668481818181817,0.7438,0.8471624999999999,0.7869600000000001,0.20438199999999998,0.7138,0.7546072727272729,0.8260444444444445,0.329428,0.6534666666666668,0.6927181818181818,0.7360599999999999,0.4315111111111112,0.2652666666666667,0.5451612499999999,0.637475,0.6355888888888889,0.47589999999999993,0.5063249999999999,0.6306,0.0,0.58105,0.6049333333333334,0.7446699999999999,0.7138181818181818,0.24828250000000002,0.70387,0.78833,0.8036545454545454,0.529390909090909,0.39325,0.5450799999999999,0.82365,0.8551083333333335,0.7958272727272728,0.7780363636363637,0.6915999999999999,0.8782111111111113,0.7800142857142858,0.6360750000000001,0.0,0.07137,0.5246666666666666,0.5128285714285715,0.408075,0.28324777777777776,0.55509,0.3153,0.8930444444444444,0.849488888888889,0.065212,0.2831,0.33122285714285715,0.6529428571428572,0.0,0.24998333333333334,0.4613,0.28087124999999996,0.3402777777777778,0.6068666666666667,0.6816166666666666,0.7310250000000001,0.24648333333333328,0.19029500000000002,0.0,0.48402222222222224,0.45289999999999997,0.370286,0.5888042857142857,0.08456000000000001,0.5226,0.09324666666666669,0.4381142857142857,0.6172857142857143,0.3053185714285714,0.18342,0.61575,0.5715844444444445,0.5624362500000001,0.0,0.6248874999999999,0.7907500000000001,0.24029571428571428,0.7677750000000001,0.7864099999999998,0.7730727272727272,0.05216,0.2381525,0.5632136363636363,0.25683333333333336,0.5919,0.18287833333333334,0.5886375000000001,0.0,0.0,0.0,0.4156714285714286,0.05124,0.0,0.0,0.27948000000000006,0.0,0.7241199999999999,0.7002875,0.2409,0.8224625,0.6210625,0.17806,0.7012500000000002,0.0,0.1995144444444444
Atmosphere of Earth,0,0.7096,0.0,0.09071,0.543,0.6562,0.3376,0.0,0.0,0.386,0.7926,0.8954,0.0,0.0,0.09192,0.4403,0.0,0.4066,0.3067,0.0,0.1201,0.5387,1.0,0.1273,0.2539,0.3811,0.3315,0.6873,0.4713,0.3644,0.5068,0.1043,0.0,1.0,0.6941,0.0,0.2264,0.4944,0.6764,0.3061,0.0,0.2574,0.4927,0.188,0.3307,0.2103,0.0,0.0,0.2945,0.0,0.3245,0.5856,0.07647,0.7573,0.6563,0.6413,0.343,0.0,0.1484,0.8325,0.9473,0.574,0.4697,0.481,0.8434,0.1175,0.3987,0.0,0.0,0.1177,0.1127,0.2773,0.0,0.1686,0.0,0.7906,0.5413,0.0,0.0,0.144,0.1385,0.0,0.0,0.08892,0.05328,0.0,0.0,0.6304,0.55,0.0,0.0,0.0,0.07675,0.0,0.0,0.0,0.0,0.472,0.0,0.1928,0.0709,0.06363,0.0,0.1336,0.2066,0.1691,0.0,0.1821,0.8367,0.0,0.3493,0.832,0.6007,0.1287,0.0,0.3092,0.0,0.1714,0.0,0.3095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4949,0.2205,0.0,0.6048,0.4395,0.0,0.383,0.0,0.06659
Wright Glider,0,0.407,0.0,0.6254,0.0,0.6925,0.0,0.2916,0.0,0.0,1.0,1.0,0.44789999999999996,0.0,0.7517,0.0,0.6901,1.0,0.9589,0.2625,0.2896,0.0,0.0,0.0,0.0,0.0,0.3951,1.0,0.4921,0.22060000000000002,0.0,0.0,0.0,0.2651,0.4574,0.4055,0.4541,0.7121500000000001,0.4431,0.0,0.3984,0.6003,0.0,0.0,0.0,0.7319,0.2585,0.0,0.0,0.0,0.0,0.0,0.0,0.6242666666666666,0.0,0.5704,0.0,0.0,0.0,0.0,0.0,0.716,0.9439,1.0,0.0,0.0,1.0,0.2357,1.0,1.0,0.3317,0.0,0.7576,1.0,0.0,0.7335,1.0,0.3126,0.0,0.1254,0.0,0.0,0.0,0.2743,0.4527,0.4189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2078,0.0,0.0,0.2416,0.0,0.0,0.0,0.2296,0.1867,0.0,0.0,0.0,0.0,0.0,0.0,0.682,0.9575,0.3074,0.53615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9673,0.66455,0.0,0.4053
Powered aircraft,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8547,0.0,0.4302,0.9398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stall (fluid mechanics),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0,0.6106857142857143,0.0,0.1960425,0.33176333333333335,0.6011528571428572,0.48301428571428573,0.2966333333333333,0.22885333333333335,0.34281400000000006,0.4707625,0.6762874999999999,0.23969999999999997,0.05827,0.28521,0.80934,0.31410000000000005,0.49963749999999996,0.38635200000000003,0.11844,0.40701666666666664,0.6813142857142858,0.8995714285714286,0.26354,0.42110000000000003,0.2080175,0.15024166666666666,0.5415333333333333,0.49616599999999994,0.48378666666666675,0.462364,0.179435,0.0,0.5161649999999999,0.5616028571428572,0.39184,0.6601833333333333,0.4012714285714285,0.5629142857142858,0.29082857142857144,0.09926,0.31107142857142855,0.7171833333333334,0.4687857142857143,0.4176066666666666,0.5433711111111111,0.499695,0.0,0.3910916666666666,0.18255,0.6181142857142857,0.7189685714285715,0.17474333333333333,0.52523625,0.7002285714285714,0.6994925000000001,0.7220571428571428,0.4357,0.5660833333333334,0.6347875000000001,0.7054,0.76612125,0.7066857142857143,0.6779625,0.7847142857142858,0.1391125,0.46090000000000003,0.0,0.05164,0.430778,0.26282333333333335,0.276525,0.325775,0.38773,0.0,0.55755,0.5233125,0.1122,0.3569,0.5119400000000001,0.79152,0.0,0.40335,0.4680166666666667,0.46535,0.39899999999999997,0.88016,0.5823142857142857,0.5035666666666666,0.7096600000000001,0.54448,0.24131999999999998,0.39127142857142855,0.54966,0.7203,0.38559999999999994,0.094945,0.42652,0.13104,0.8264400000000001,0.421556,0.12348500000000001,0.0,0.4238,0.287492,0.29366499999999995,0.0,0.4511,0.7444124999999999,0.2521333333333334,0.48219999999999996,0.7276333333333334,0.7103999999999998,0.14629999999999999,0.29674999999999996,0.6761999999999999,0.0,0.26747999999999994,0.0,0.20344333333333334,0.0,0.0,0.0,0.30252500000000004,0.0,0.0,0.0,0.1192,0.0,0.4841800000000001,0.3940000000000001,0.0,0.6026571428571429,0.46592857142857147,0.11727333333333333,0.4317333333333333,0.0,0.12100874999999998
Early flying machines,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
