,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257
Manfred von Richthofen,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5452,0.0,0.0,0.9216,0.0,0.6963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6312,0.5755,0.0,0.0,0.0,0.0,0.3245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05998,0.5919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9565,0.2474,0.0,0.9791,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.619,0.3643,0.0,0.0,0.0,0.0,0.0,0.0,0.1166,0.2442,0.249,0.2061,0.0,0.0,0.0,0
Roy Brown (RAF officer),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Military,0.8623571428571429,0.65841,0.55855,0.0,0.0,0.639525,0.83294,0.6243142857142857,0.6064,0.619,0.5569181818181818,0.79783,0.8130099999999999,0.37649999999999995,0.0,0.7699545454545454,0.18867222222222224,0.0,0.05491,0.0,0.0,0.0,0.0,0.0,0.0,0.179975,0.7422454545454545,0.8079749999999999,0.37176,0.35826,0.165426,0.4901454545454546,0.0,0.0,0.2520183333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6881666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2949857142857143,0.46249999999999997,0.18797333333333333,0.0,0.0,0.0,0.05619,0.0,0.0,0.0,0.0,0.0,0.17463800000000002,0.0,0.7138333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.3213333333333333,0.7760075,0.65901,0.5592499999999999,0.19004000000000001,0.0,0.44596,0.49115000000000003,0.4405,0.0,0.0,0.0,0.5224500000000001,0.36041666666666666,0.0,0.0,0.0,0.0,0.33863333333333334,0.42695,0.0,0.40216666666666673,0.0,0.0,0.0,0.134575,0.468225,0.60615,0.5203,0.0,0.15056125000000004,0.5746566666666666,0.0,0.312,0.1184,0.0,0.645125,0.43767,0.0,0.0,0.13152250000000001,0.37845,0.25,0.18926666666666667,0.119965,0.0,0.0,0.467325,0.0,0.0,0.17572300000000002,0.7233090909090909,0.8016727272727272,0.2754588888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.8600818181818183,0.5890125,0.0,0.0,0.0,0.09320500000000001,0.31954000000000005,0.0,0.0,0.0,0.0,0.39194299999999993,0.0,0.0,0.0,0.0,0.8165285714285716,0.0,0.0,0.1887,0.76082,0.0,0.0,0.0,0.0,0.0636,0.0,0.13885999999999998,0.072115,0.0,0.22692666666666664,0.7764,0.8615909090909092,0.7585272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.41154999999999997,0.8126999999999999,0.6555545454545454,0.6335636363636362,0.15981428571428571,0.623968,0.0,0.08853,0.7763555555555556,0.105095,0.0,0.0,0.1212625,0.13687499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2783333333333333,0.09463,0.0,0.21395166666666668,0.36426250000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4926833333333333,0.22012,0.7798766666666667,0.32716666666666666,0.69994,0.4710071428571428,0.0,0.2454725,0.0,0.0,0.13956666666666667,0.0720725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09324,0.5363454545454546,0.0,0.0,0.0,0.0,0.4530666666666667,0.05598,0.0,0.0,0.0,0.0,0.0,0.45600222222222225,0.68578,0.5037683333333334,0.37984,0.25990444444444444,0.0,0.0,0.0,0
War,0.82772,0.6256499999999999,0.0,0.0,0.0,0.8381000000000001,0.955875,0.8659749999999999,0.548856,0.6415500000000001,0.72908,0.48418333333333335,0.5591857142857143,0.17587333333333333,0.0,0.4810666666666667,0.13984333333333332,0.0,0.1311,0.0,0.0,0.0,0.0,0.0,0.0,0.190375,0.5716833333333333,0.7557333333333335,0.51178,0.32320000000000004,0.10880500000000001,0.35910000000000003,0.0,0.0,0.22311750000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5018250000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1651,0.46655,0.30579999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863,0.0,0.7692,0.0,0.0,0.0,0.0,0.0,0.0,0.32655,0.95374,0.661015,0.85416,0.19205,0.0,0.58113,0.34203999999999996,0.2066,0.0,0.0,0.0,0.5428999999999999,0.4015,0.0,0.0,0.0,0.0,0.1595,0.49765,0.0,0.3299,0.0,0.0,0.0,0.1211,0.6696,0.39713999999999994,0.4707,0.0,0.31178500000000003,0.68375,0.1325,0.4383,0.165,0.0,0.6002666666666666,0.48275,0.0,0.0,0.20475000000000002,0.29485,0.0,0.6183,0.20085,0.0,0.0,0.2265,0.0,0.0,0.13924999999999998,0.8032166666666667,0.64864,0.21047500000000002,0.0,0.0,0.0,0.067995,0.0,0.0,0.702954,0.9453333333333332,0.0,0.0,0.0,0.060066666666666664,0.30115000000000003,0.0,0.0,0.0,0.0,0.31340400000000007,0.0,0.0,0.0,0.0,0.8185800000000001,0.0,0.0,0.18145,0.730886,0.0,0.0,0.0,0.0,0.13470333333333334,0.0,0.08077000000000001,0.0,0.0,0.24313333333333334,0.5571,0.7546799999999999,0.53168,0.0,0.0,0.0,0.0,0.0,0.0,0.195925,0.7212799999999999,0.388426,0.432975,0.16632,0.6857833333333333,0.0,0.0,0.717225,0.0,0.0,0.0,0.288,0.14100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762,0.0,0.0,0.23209666666666665,0.35221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64185,0.3986,0.6715199999999999,0.2912,0.6581,0.402055,0.0,0.282852,0.0,0.0,0.10179666666666669,0.063065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10375000000000001,0.48643333333333333,0.0,0.0,0.0,0.0,0.583,0.08051,0.0,0.0,0.0,0.0,0.0,0.45455000000000007,0.560408,0.28023,0.30145,0.18695,0.0,0.0,0.0,0
Jagdgeschwader 1 (World War I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
International security,0.7459,0.19505,0.0,0.0,0.0,0.34975,0.8936,0.5153,0.5496,0.8205,0.5806,0.8161,0.7254,0.0,0.0,0.1784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08691499999999999,0.551,0.4014,0.22565000000000002,0.0,0.0,0.09581999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32530000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1881,0.973,0.4821,0.55855,0.0,0.0,0.30555,0.05615,0.0,0.0,0.0,0.0,0.46285,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19805,0.0,0.0,0.23875000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6016,0.2388,0.09437,0.0,0.0,0.0,0.0,0.0,0.0,0.5814,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2862,0.0,0.0,0.0,0.0,0.80245,0.0,0.0,0.0,0.4789,0.0,0.0,0.0879,0.0,0.0,0.0,0.05765,0.0,0.0,0.0,0.18159999999999998,0.3618,0.16765000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36895,0.15455,0.13635,0.11725,0.0,0.0,0.0,0.74035,0.0,0.0,0.0,0.0,0.092635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886,0.0,0.82205,0.0,0.31735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100535,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Fokker,0.0,0.7942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185,0.4408,0.0,0.0,0.0,0.0,0.0,0.0,0
Roland Georges Garros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Violent conflict,0.9453,0.265,0.0,0.0,0.0,0.7209,0.7558,0.2785,0.173,0.0,0.4728,0.114,0.1295,0.0,0.0,0.1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1246,0.1089,0.283,0.3014,0.0,0.0,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2753,0.9444,0.5062,0.4952,0.0,0.0,0.0795,0.0,0.0,0.0,0.0,0.0,0.4297,0.2762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6344,0.2461,0.09673,0.0,0.0,0.0,0.0,0.0,0.0,0.3766,0.6994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2215,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5615,0.0,0.0,0.0,0.0,0.1367,0.0,0.0,0.0,0.0,0.0,0.1267,0.2411,0.1166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2329,0.05738,0.0,0.1767,0.06647,0.0,0.0,0.6817,0.0,0.0,0.0,0.0,0.1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2569,0.0,0.5095,0.0,0.1825,0.0,0.0,0.06358,0.0,0.0,0.05473,0.0629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05327,0.0,0.0,0.0,0.0,0.0,0.0,0
Nazi Germany,0.0,0.0,0.0,0.0,0.0,0.1199,0.1863,0.0,0.0,0.0,0.1834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1697,0.4756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
